categoria;Produto;descricao;link;preco;plataforma;icon
Celulares e Eletrônicos;Roku Streaming Stick;Transforma TV em Smart com controle voz;https://mercadolivre.com/sec/2vaHe4Y;Oferta especial;Mercado Livre;fas fa-tv
Celulares e Eletrônicos;Notebook ASUS Vivobook Go 15;AMD Ryzen 5, 8GB RAM, 256GB SSD;https://mercadolivre.com/sec/1VqfXBL;Preço em oferta;Mercado Livre;fas fa-laptop
Livros;Kit Bíblia Letra Gigante;2 Bíblias luxo com índice;https://mercadolivre.com/sec/21QLsxF;Preço especial;Mercado Livre;fas fa-bible
Livros;Catecismo Da Igreja Católica;Nova Capa Nova Edição Médio;https://mercadolivre.com/sec/2sTMd7G;Preço em oferta; fa-bible
